Date,ID,Name,Sale_Price,Reg_Price,Discount,Collection,Brand,Type,Company,URL,SKU,SKU_Formatted,Rating,In_Stock,In_Stock_Status,Reviews
2023-02-17 09:54:36.275638,7162089865372,148 LOCKHEED P38F/G LIGHTNING,$102.99,$102.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-lockheed-p-38f-g-lightning?_pos=46&_fid=776aca48f&_ss=c,T61120,T61120,0,Low stock - 6 items left,YES,No reviews
2023-02-17 09:54:36.275638,7162586661020,148 NAKAJIMA HAYATE FRANK AND KUROGANE SCENERY SET,Sale price,$69.99,Save $14.00,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-nakajima-hayate-frank-kurogane-scenery-set?_pos=47&_fid=776aca48f&_ss=c,T61116,T61116,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7157661401244,172 SUPERMARINE SPITFIRE MK.VB/ MK.VB TROP.,$29.99,$29.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-supermarine-spitfire-mk-vb-mk-vb-trop?_pos=48&_fid=776aca48f&_ss=c,T60756,T60756,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7164470427804,1/72 SUPERMARINE SPITFIRE MK.1,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-supermarine-spitfire-mk-1?_pos=49&_fid=776aca48f&_ss=c,T60748,T60748,0,Low stock - 2 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158231957660,1/72 MITSUBISHI A6M5 ZERO FIGHTER ZEKE,$34.99,$34.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-mitsubishi-a6m5-zero-fighter-zeke?_pos=50&_fid=776aca48f&_ss=c,T60779,T60779,0,Low stock - 2 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158230712476,1/72 DOUGLAS F4D1 SKYRAY,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-douglas-f4d-1-skyray?_pos=51&_fid=776aca48f&_ss=c,T60741,T60741,0,Low stock - 6 items left,YES,No reviews
2023-02-17 09:54:36.275638,7157720252572,1/72 VOUGHT F4U1A CORSAIR,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-vought-f4u-1a-corsair?_pos=52&_fid=776aca48f&_ss=c,T60775,T60775,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7164513779868,1/72 A6M3 ZERO MODEL 32 HAMP,Sale price,$34.99,Save $8.75,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-a6m3-zero-model-32-hamp?_pos=53&_fid=776aca48f&_ss=c,T60784,T60784,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7166034641052,1/48 JAPAN AIR SELF DEFENSE FORCE F15J EAGLE,$49.99,$49.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-japan-air-self-defense-force-f-15j-eagle?_pos=54&_fid=776aca48f&_ss=c,T61030,T61030,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158237495452,1/48 P47D THUNDERBOLT B/TOP,$56.99,$56.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-p-47d-thunderbolt-b-top?_pos=55&_fid=776aca48f&_ss=c,T61090,T61090,0,Low stock - 2 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158231203996,1/72 WB F4U1D CORSAIR,$32.99,$32.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-wb-f4u-1d-corsair?_pos=56&_fid=776aca48f&_ss=c,T60752,T60752,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158232154268,1/72 MITSUBISHI A6M2B ZERO FIGHTER,$32.99,$32.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-mitsubishi-a6m2b-zero-fighter?_pos=57&_fid=776aca48f&_ss=c,T60780,T60780,0,Low stock - 2 items left,YES,No reviews
